long,lat,name,X.U.05E7..U.05D5..U.05D3._.U.05E1.,elc,group_,F_.U.05E6..U.05D5..U.05D5..U.05EA.
34.808214546000045,31.259018768000033,ג/2,17,יש,0,
34.80789157400005,31.259795091000058,ג/1,17,יש,0,
34.809368438000035,31.25924937600007,ג/25,17,יש,0,
34.80936349500007,31.257304928000053,ג/33,17,אין,0,
34.810975436000035,31.25747975200005,ג/36,17,אין,0,
34.81033456800003,31.258424086000048,ג/3,17,יש,0,
34.805622382000024,31.25424629400004,ג/7,17,יש,0,
34.80269352500005,31.255173057000036,ג/23,17,יש,0,
34.80447376800004,31.255645646000062,ג/22,17,יש,0,
34.80952510100008,31.253666206000048,ג/39,17,יש,0,
34.80755207800007,31.253733028000056,ג/26,17,יש,0,
34.808555186000035,31.25698128500005,ג/31,17,,0,
34.76512061400007,31.25707523500006,מ/3,17,יש,0,
34.763648620000026,31.257608025000025,מ/5,0,אין,0,
34.762845449000054,31.25754626300005,מ/4,0,יש,0,
34.77867450400004,31.270085564000055,ו/8,17,יש,0,
34.777707399000064,31.270290500000044,ו/7,17,יש,0,
34.77622771000006,31.269501219000063,ו/6,17,יש,0,
34.77013884400003,31.26584829600006,ו/3,17,יש,0,
34.78692852900008,31.25972543100005,מ/6,0,,0,
34.79518494400003,31.26461114400007,ד/9,17,יש,0,
34.799772576000066,31.266921333000028,ד/37,17,יש,0,
34.79408100100005,31.26043204700005,ד/40,17,אין,0,
34.791620884000054,31.259605872000066,ד/30,17,,0,
34.79067905900007,31.26276286800004,ד/44,17,יש,0,
34.79068958000005,31.263789048000035,ד/21,17,יש,0,
34.79273660100006,31.261942934000047,ד/38,17,יש,0,
34.792314590000046,31.263810208000052,ד/29,17,יש,0,
34.792749238000056,31.26326447100007,ד/45,17,יש,0,
34.79274392900004,31.263504445000024,ד/39,17,יש,0,
34.79052351100006,31.262432614000033,ד/13,17,אין,0,
34.78834339200006,31.27085801800007,ד/35,17,יש,0,
34.78676390800007,31.271199657000068,ד/55,17,אין,0,
34.78560297200005,31.270725645000027,ד/52,17,יש,0,
34.78520561300007,31.271274730000073,ד/54,17,יש,0,
34.787070295000035,31.271863030000077,ד/56,17,אין,0,
34.78758881700003,31.272085533000052,ד/58,17,יש,0,
34.793911620000074,31.272612679000076,ד/2,17,אין,0,
34.79249052900008,31.272427384000025,ד/1,17,אין,0,
34.794108074000064,31.270405192000055,ד/46,17,יש,0,
34.80145007800007,31.266736774000037,ד/49,17,יש,0,
