Year,Time,Athlete,Date,Place
1966,2:14:05, Michael Ryan (NZL),27/11/1966,"Fukuoka, Japan"
1967,2:09:36, Derek Clayton (AUS),03/12/1967,"Fukuoka, Japan"
1968,2:10:48, Bill Adcocks (GBR),08/12/1968,"Fukuoka, Japan"
1969,2:08:34, Derek Clayton (AUS),30/05/1969,"Antwerp, Belgium"
1970,2:09:29, Ron Hill (GBR),23/07/1970,"Edinburgh, Scotland"
1971,2:11:09, Derek Clayton (AUS),25/09/1971,"Hobart, Australia"
1972,2:10:30, Frank Shorter (USA),03/12/1972,"Fukuoka, Japan"
1973,2:11:13, John Farrington (AUS),14/07/1973,"Sydney, Australia"
1974,2:09:12, Ian Thompson (GBR),31/01/1974,"Christchurch, New Zealand"
1975,2:09:56, Bill Rodgers (USA),21/04/1975,"Boston, United States"
1976,2:09:55, Waldemar Cierpinski (GDR),31/07/1976,"Montreal, Canada"
1977,2:10:55, Bill Rodgers (USA),04/12/1977,"Fukuoka, Japan"
1978,2:09:06, Shigeru So (JPN),05/02/1978,"Beppu, Japan"
1979,2:09:28, Bill Rodgers (USA),16/04/1979,"Boston, United States"
1980,2:09:01, Gerard Nijboer (NED),26/04/1980,"Amsterdam, Netherlands"
1981,2:08:18, Robert de Castella (AUS),06/12/1981,"Fukuoka, Japan"
1982,2:08:52, Alberto Salazar (USA),19/04/1982,"Boston, United States"
1983,2:08:37, Robert de Castella (AUS),09/04/1983,"Rotterdam, Netherlands"
1984,2:08:05, Steve Jones (GBR),21/10/1984,"Chicago, United States"
1985,2:07:12, Carlos Lopes (POR),20/04/1985,"Rotterdam, Netherlands"
1986,2:07:51, Robert de Castella (AUS),21/04/1986,"Boston, United States"
1987,2:08:18, Takeyuki Nakayama (JPN),06/12/1987,"Fukuoka, Japan"
1988,2:06:50, Belayneh Dinsamo (ETH),17/04/1988,"Rotterdam, Netherlands"
1989,2:08:01, Juma Ikangaa (TAN),05/11/1989,"New York City, United States"
1990,2:08:16, Steve Moneghetti (AUS),30/09/1990,"Berlin, Germany"
1991,2:08:53, Koichi Morishita (JPN),03/02/1991,"Beppu, Japan"
1992,2:08:07, David Tsebe (RSA),27/09/1992,"Berlin, Germany"
1993,2:08:51, Dionicio Ceron (MEX),05/12/1993,"Fukuoka, Japan"
1994,2:07:15, Cosmas Ndeti (KEN),18/04/1994,"Boston, United States"
1995,2:07:02, Sammy Lelei (KEN),24/09/1995,"Berlin, Germany"
1996,2:08:25, Martín Fiz (ESP),24/03/1996,"Kyong-Ju, South Korea"
1997,2:07:10, Khalid Khannouchi (MAR),19/10/1997,"Chicago, United States"
1998,2:06:05, Ronaldo da Costa (BRA),20/09/1998,"Berlin, Germany"
1999,2:05:42, Khalid Khannouchi (MAR),24/10/1999,"Chicago, United States"
2000,2:06:36, António Pinto (POR),16/04/2000,"London, UK"
2001,2:06:50, Josephat Kiprono (KEN),22/04/2001,"Rotterdam, Netherlands"
2002,2:05:38, Khalid Khannouchi (USA),14/04/2002,"London, UK"
2003,2:04:55, Paul Tergat (KEN),28/09/2003,"Berlin, Germany"
2004,2:06:16, Evans Rutto (KEN),10/10/2004,"Chicago, United States"
2005,2:06:20, Haile Gebrselassie (ETH),16/10/2005,"Amsterdam, Netherlands"
2006,2:05:56, Haile Gebrselassie (ETH),24/09/2006,"Berlin, Germany"
2007,2:04:26, Haile Gebrselassie (ETH),30/09/2007,"Berlin, Germany"
2008,2:03:58, Haile Gebrselassie (ETH),28/09/2008,"Berlin, Germany"
2009,2:04:26, Duncan Kibet (KEN),05/04/2009,"Rotterdam, Netherlands"
2010,2:04:48, Patrick Makau Musyoki (KEN),11/04/2010,"Rotterdam, Netherlands"
2011,2:03:38, Patrick Makau Musyoki (KEN),11/09/2011,"Berlin, Germany"
2012,2:04:15, Geoffrey Mutai (KEN),09/09/2012,"Berlin, Germany"
2013,2:03:23, Wilson Kipsang Kiprotich (KEN),28/09/2013,"Berlin, Germany"
2014,2:02:57, Dennis Kimetto (KEN),28/09/2014,"Berlin, Germany"
2015,2:04:00, Eliud Kipchoge (KEN),27/09/2015,"Berlin, Germany"
2016,2:03:03, Kenenisa Bekele (ETH),25/09/2016,"Berlin, Germany"
2017,2:03:32, Eliud Kipchoge (KEN),24/09/2017,"Berlin, Germany"
2018,2:01:39, Eliud Kipchoge (KEN),16/09/2018,"Berlin, Germany"
